cluster_id,n_months,slope_per_month,r2,last_month,last_count,next_month_projection
69,60,0.036954709641567086,0.006056307769109703,2025-05,54,57.06045197740113
151,60,0.020616838010558497,0.002464243294073132,2025-05,52,49.99548022598871
90,60,-0.02020005557099195,0.004273537088624102,2025-05,34,39.60056497175142
11,60,0.07538205056960269,0.04488477731423379,2025-05,46,36.91581920903955
0,60,0.0081967213114754,0.0006444020538732831,2025-05,45,35.96666666666667
139,60,0.03387051958877467,0.011539560656997572,2025-05,41,32.516384180790965
134,60,0.0549319255348708,0.030090163966503658,2025-05,40,30.75875706214689
156,60,0.0009447068630175124,8.593145825241955e-06,2025-05,22,24.4954802259887
130,60,0.03192553487079746,0.013760903164852123,2025-05,27,24.023728813559323
2,60,0.00683523200889137,0.0006323206506418932,2025-05,28,23.408474576271185
142,60,0.033036954709641554,0.015324362793962654,2025-05,23,22.857627118644068
13,60,0.012864684634620732,0.002481432969614006,2025-05,22,22.109039548022597
107,60,0.016838010558488468,0.0037242083794017944,2025-05,21,21.880225988700566
3,60,-0.04815226451792166,0.032123753477906636,2025-05,16,20.98135593220339
5,60,-0.016310086135037524,0.004147530242711417,2025-05,15,20.28587570621469
109,60,-0.004806890803000835,0.00035327267828177966,2025-05,28,19.836723163841807
6,60,-0.03937204779105308,0.0195867310107275,2025-05,23,19.182485875706213
144,60,-0.021033620450125037,0.006142051927097936,2025-05,13,18.975141242937855
104,60,0.009891636565712708,0.0018181653332268732,2025-05,26,18.901694915254236
9,60,-0.010558488469019172,0.002360873382763473,2025-05,19,18.744632768361583
125,60,0.03720477910530704,0.018200279810755338,2025-05,23,18.551412429378534
117,60,0.0010280633509308018,1.613184126936229e-05,2025-05,15,18.548022598870055
112,60,-0.018060572381217003,0.004224011243448067,2025-05,14,17.64915254237288
137,60,0.006974159488746875,0.0009762137921788261,2025-05,19,17.296045197740114
129,60,0.061961656015559884,0.09547712335178205,2025-05,19,17.089830508474577
148,60,-0.03617671575437622,0.0249640046174463,2025-05,15,15.996610169491525
116,60,0.013420394554042791,0.004302721918090113,2025-05,15,15.659322033898304
131,60,0.027174215059738823,0.01940637401063061,2025-05,10,15.595480225988702
133,60,0.0015282022784106704,4.3550558029958886e-05,2025-05,20,15.363276836158192
113,60,-0.023756599055293152,0.011252086894437796,2025-05,20,15.192090395480225
140,60,0.007585440400111145,0.001428450872063336,2025-05,17,15.181355932203388
4,60,0.006724090025006927,0.0007038597032925642,2025-05,16,15.171751412429376
157,60,0.003917754931925541,0.0003005513948759475,2025-05,14,14.802824858757063
155,60,-0.0387885523756599,0.02968902283596464,2025-05,9,14.78361581920904
110,60,0.014281744929146994,0.004951090530743163,2025-05,15,14.768926553672317
97,60,-0.003278688524590166,0.0003107012896738093,2025-05,8,14.6
103,60,-0.03370380661294804,0.029194294890509287,2025-05,14,14.25536723163842
101,60,-0.05259794387329816,0.06257016763159251,2025-05,11,14.245762711864407
89,60,-0.068463462072798,0.08264450840063409,2025-05,21,14.211864406779661
10,60,0.01297582661850514,0.0037795241257668755,2025-05,13,13.745762711864407
51,60,0.03903862183939983,0.0312715542015376,2025-05,13,13.674011299435028
108,60,-0.013420394554042803,0.005510229721120807,2025-05,13,13.474011299435027
96,60,-0.004529035843289805,0.000334047048578312,2025-05,14,13.378531073446329
138,60,-0.02214504028896915,0.009528133618420642,2025-05,15,12.941242937853108
106,60,-0.04434565156988053,0.03818555854193717,2025-05,12,12.880790960451975
159,60,0.045595998888580194,0.04908466959578417,2025-05,15,12.67401129943503
91,60,0.025312586829674914,0.016901443845863118,2025-05,9,12.555367231638417
60,60,0.042678521811614356,0.04772901381126082,2025-05,17,12.53502824858757
34,60,-0.008641289247013063,0.0016784267445534296,2025-05,15,12.153107344632769
55,60,0.007835509863851071,0.0017684455620583517,2025-05,13,11.805649717514125
7,60,0.02192275632120035,0.010518976751389686,2025-05,10,11.785310734463279
16,60,-0.006196165601555988,0.0011125459050004283,2025-05,18,11.494350282485875
14,60,-0.04373437065851628,0.04223184013282466,2025-05,6,11.166101694915254
54,60,0.009558210614059467,0.0041627588427198825,2025-05,10,10.75819209039548
33,60,-0.020088913587107543,0.010790968961697178,2025-05,7,10.370621468926553
121,60,0.019533203667685482,0.012410160125063685,2025-05,12,10.345762711864408
153,60,0.03906640733537095,0.05945378342495089,2025-05,8,10.224858757062147
36,60,0.026618505140316773,0.024838176549762947,2025-05,12,10.145197740112996
1,60,-0.039038621839399844,0.04355535907596053,2025-05,13,9.959322033898305
141,60,0.02306196165601557,0.020763770799638093,2025-05,14,9.836723163841809
18,60,0.01897749374826341,0.015206634347577852,2025-05,7,9.795480225988701
122,60,0.03984440122256184,0.05423699976568186,2025-05,10,9.781920903954802
105,60,0.02417338149485969,0.01962076306181848,2025-05,6,9.703954802259886
94,60,0.004501250347318689,0.0005969893212526278,2025-05,16,9.703954802259886
123,60,0.01275354265073632,0.006349335923230837,2025-05,13,9.572316384180793
150,60,0.000444567935537657,7.23855525963657e-06,2025-05,13,9.346892655367233
136,60,-0.005696026674076136,0.0007900621133893893,2025-05,13,9.342937853107344
127,60,-0.0031397610447346435,0.0002786697196399679,2025-05,8,9.32090395480226
119,60,0.02528480133370381,0.017070805134289158,2025-05,6,9.137853107344633
31,60,0.01636565712697972,0.008166421773848076,2025-05,8,9.115819209039548
158,60,0.015504306751875519,0.008147353560597592,2025-05,7,9.006214689265535
93,60,-0.005001389274798557,0.001090067084433377,2025-05,6,8.980790960451976
67,60,0.006946373992775771,0.0014078965772836849,2025-05,7,8.978531073446328
118,60,0.03901083634342873,0.045511201716851635,2025-05,9,8.92316384180791
132,60,0.006890803000833575,0.002031525373522136,2025-05,3,8.910169491525423
71,60,0.024506807446512922,0.029368212184543885,2025-05,7,8.747457627118644
152,60,0.039121978327313144,0.06496746204378456,2025-05,8,8.559887005649717
95,60,0.032453459294248414,0.04076459756490036,2025-05,8,8.523163841807909
102,60,0.01458738538482912,0.008970806286793143,2025-05,10,8.394915254237288
149,60,0.018588496804667974,0.013201851830202171,2025-05,11,8.38361581920904
124,60,0.027035287579883313,0.03464419177561773,2025-05,13,8.17457627118644
126,60,0.014587385384829126,0.00887104984018916,2025-05,7,8.09491525423729
154,60,-0.018866351764378984,0.010717186353227715,2025-05,4,8.07457627118644
99,60,0.023367602111697694,0.02461133797863224,2025-05,5,7.96271186440678
98,60,-0.018060572381217017,0.010326681956184913,2025-05,9,7.849152542372881
41,60,-0.02322867463184219,0.022218732256544804,2025-05,10,7.791525423728813
135,60,-0.016254515143095307,0.010900108546151088,2025-05,7,7.72090395480226
147,60,0.004779105307029734,0.0009626867342390488,2025-05,8,7.67909604519774
17,60,0.0023061961656015563,0.0002512108339098873,2025-05,8,7.587005649717515
115,60,0.00855793275909975,0.0030893615679824515,2025-05,8,7.561016949152542
145,60,-0.01280911364267852,0.0064911524560569145,2025-05,4,7.5593220338983045
70,60,-0.008530147263128656,0.0026711997651698294,2025-05,4,7.4564971751412426
88,60,-0.01961656015559878,0.015666619309788188,2025-05,10,7.401694915254238
30,60,-0.006140594609613789,0.001621028957266124,2025-05,3,7.396045197740112
40,60,-0.035454292859127545,0.04175456345826345,2025-05,6,7.185310734463278
100,60,-0.018921922756321197,0.01698856875023702,2025-05,7,7.172881355932203
128,60,-0.02320088913587108,0.022792355498394867,2025-05,9,7.109039548022599
92,59,-0.02139099941554647,0.018290854572713622,2025-05,4,6.9684395090590305
120,60,-0.016171158655182,0.014437943859658242,2025-05,5,6.873446327683616
8,60,0.03178660739094193,0.06666562977616286,2025-05,9,6.402824858757063
12,60,0.019560989163656575,0.022374788298116788,2025-05,10,5.863276836158192
39,60,-0.028146707418727435,0.04008521666690701,2025-05,3,5.491525423728812
15,60,-0.018977493748263408,0.020531646174661633,2025-05,7,5.271186440677965
111,59,0.0228521332554062,0.04841806227672363,2025-05,7,5.244886031560491
